Day,Month,Year,date,Subways_Total_Estimated_Ridership,Subways_Percentage_of_Comparable_Pre_Pandemic_Day,Buses_Total_Estimated_Ridership,Buses_Percentage_of_Comparable_Pre_Pandemic_Day,LIRR_Total_Estimated_Ridership,LIRR_Percentage_of_2019_Monthly_Weekday_Saturday_Sunday_Average,Metro_North_Total_Estimated_Ridership,Metro_North_Percentage_of_2019_Monthly_Weekday_Saturday_Sunday_Average,Access_A_Ride_Total_Scheduled_Trips,Access_A_Ride_Percentage_of_Comprable_Pre_Pandemic_Day,Bridges_and_Tunnels_Total_Traffic,Bridges_and_Tunnels_Percentage_of_Comparable_Pre_Pandemic_Day
5,5,2022,5/5/2022,3504103,0.595,1424789,0.603,"174,600",0.61,"150,100",0.58,"25,903",0.84,"982,930",0.995
4,5,2022,5/4/2022,3360317,0.573,1431253,0.597,"168,500",0.59,"147,100",0.57,"25,462",0.799,"909,016",0.945
3,5,2022,5/3/2022,3409510,0.586,1479266,0.625,"177,900",0.62,"155,300",0.6,"24,680",0.797,"929,868",0.994
2,5,2022,5/2/2022,2737861,0.485,1168467,0.513,"146,400",0.5,"126,800",0.48,"21,695",0.766,"883,276",0.952
1,5,2022,5/1/2022,1686408,0.724,674569,0.803,"64,600",0.69,"62,500",0.78,"12,976",0.741,"870,826",1.092
30,4,2022,4/30/2022,2110627,0.654,881880,0.635,"82,900",0.73,"82,800",0.86,"14,223",0.808,"938,739",1.004
29,4,2022,4/29/2022,3263295,0.568,1426696,0.639,"164,900",0.55,"136,900",0.51,"23,421",0.816,"994,415",0.984
28,4,2022,4/28/2022,3411573,0.578,1465092,0.624,"167,300",0.58,"146,300",0.56,"24,321",0.82,"968,651",0.986
27,4,2022,4/27/2022,3439081,0.592,1498948,0.638,"172,600",0.6,"153,100",0.59,"25,229",0.819,"934,481",0.981
26,4,2022,4/26/2022,3288631,0.571,1452642,0.635,"172,200",0.6,"153,900",0.59,"23,800",0.804,"897,493",0.966
25,4,2022,4/25/2022,3032820,0.546,1415410,0.63,"159,600",0.55,"139,000",0.52,"22,370",0.821,"883,942",0.976
24,4,2022,4/24/2022,1655863,0.684,648591,0.654,"64,800",0.69,"67,600",0.84,"12,927",0.74,"875,218",1.045
23,4,2022,4/23/2022,2109247,0.645,844146,0.632,"79,400",0.7,"89,800",0.93,"13,459",0.821,"907,580",0.984
22,4,2022,4/22/2022,2991024,0.592,1217380,0.696,"157,900",0.53,"145,600",0.54,"22,298",0.878,"935,779",1.036
21,4,2022,4/21/2022,3039160,0.556,1231047,0.623,"165,800",0.58,"147,500",0.57,"23,239",0.83,"920,202",0.977
20,4,2022,4/20/2022,3104143,0.571,1265823,0.628,"171,700",0.6,"155,700",0.6,"24,212",0.826,"942,383",1.001
19,4,2022,4/19/2022,2967971,0.546,1189960,0.588,"168,400",0.58,"151,500",0.58,"22,359",0.808,"895,086",0.961
