date,Subways_Total_Estimated_Ridership,Subways_Percentage_of_Comparable_Pre_Pandemic_Day,Buses_Total_Estimated_Ridership,Buses_Percentage_of_Comparable_Pre_Pandemic_Day,LIRR_Total_Estimated_Ridership,LIRR_Percentage_of_2019_Monthly_Weekday_Saturday_Sunday_Average,Metro_North_Total_Estimated_Ridership,Metro_North_Percentage_of_2019_Monthly_Weekday_Saturday_Sunday_Average,Access_A_Ride_Total_Scheduled_Trips,Access_A_Ride_Percentage_of_Comprable_Pre_Pandemic_Day,Bridges_and_Tunnels_Total_Traffic,Bridges_and_Tunnels_Percentage_of_Comparable_Pre_Pandemic_Day
05/05/2022,"3,504,103",0.595,"1,424,789",0.603,"174,600",0.61,"150,100",0.58,"25,903",0.84,"982,930",0.995
05/04/2022,"3,360,317",0.573,"1,431,253",0.597,"168,500",0.59,"147,100",0.57,"25,462",0.799,"909,016",0.945
05/03/2022,"3,409,510",0.586,"1,479,266",0.625,"177,900",0.62,"155,300",0.6,"24,680",0.797,"929,868",0.994
05/02/2022,"2,737,861",0.485,"1,168,467",0.513,"146,400",0.5,"126,800",0.48,"21,695",0.766,"883,276",0.952
05/01/2022,"1,686,408",0.724,"674,569",0.803,"64,600",0.69,"62,500",0.78,"12,976",0.741,"870,826",1.092
04/30/2022,"2,110,627",0.654,"881,880",0.635,"82,900",0.73,"82,800",0.86,"14,223",0.808,"938,739",1.004
04/29/2022,"3,263,295",0.568,"1,426,696",0.639,"164,900",0.55,"136,900",0.51,"23,421",0.816,"994,415",0.984
04/28/2022,"3,411,573",0.578,"1,465,092",0.624,"167,300",0.58,"146,300",0.56,"24,321",0.82,"968,651",0.986
04/27/2022,"3,439,081",0.592,"1,498,948",0.638,"172,600",0.6,"153,100",0.59,"25,229",0.819,"934,481",0.981
04/26/2022,"3,288,631",0.571,"1,452,642",0.635,"172,200",0.6,"153,900",0.59,"23,800",0.804,"897,493",0.966
04/25/2022,"3,032,820",0.546,"1,415,410",0.63,"159,600",0.55,"139,000",0.52,"22,370",0.821,"883,942",0.976
04/24/2022,"1,655,863",0.684,"648,591",0.654,"64,800",0.69,"67,600",0.84,"12,927",0.74,"875,218",1.045
04/23/2022,"2,109,247",0.645,"844,146",0.632,"79,400",0.7,"89,800",0.93,"13,459",0.821,"907,580",0.984
04/22/2022,"2,991,024",0.592,"1,217,380",0.696,"157,900",0.53,"145,600",0.54,"22,298",0.878,"935,779",1.036
04/21/2022,"3,039,160",0.556,"1,231,047",0.623,"165,800",0.58,"147,500",0.57,"23,239",0.83,"920,202",0.977
04/20/2022,"3,104,143",0.571,"1,265,823",0.628,"171,700",0.6,"155,700",0.6,"24,212",0.826,"942,383",1.001
04/19/2022,"2,967,971",0.546,"1,189,960",0.588,"168,400",0.58,"151,500",0.58,"22,359",0.808,"895,086",0.961
04/18/2022,"2,681,463",0.542,"1,145,261",0.631,"154,300",0.53,"139,200",0.52,"20,245",0.848,"901,207",0.98
04/17/2022,"1,514,273",0.646,"596,619",0.6,"71,300",0.76,"71,700",0.89,"14,704",0.759,"845,418",0.961
04/16/2022,"1,988,439",0.702,"830,874",0.695,"89,000",0.79,"83,700",0.87,"13,413",0.907,"885,536",1.049
04/15/2022,"2,766,260",0.582,"1,137,728",0.645,"166,100",0.55,"140,200",0.52,"20,908",0.854,"973,156",1.008
04/14/2022,"3,304,078",0.56,"1,438,990",0.639,"162,900",0.57,"144,300",0.55,"25,073",0.846,"982,717",0.982
04/13/2022,"3,227,557",0.54,"1,495,891",0.639,"163,400",0.57,"147,000",0.57,"25,847",0.822,"949,712",0.981
04/12/2022,"3,085,168",0.52,"1,496,004",0.637,"172,300",0.6,"149,400",0.57,"25,286",0.84,"936,334",0.989
04/11/2022,"3,212,082",0.578,"1,433,226",0.654,"161,100",0.55,"140,200",0.53,"23,569",0.843,"901,316",0.992
04/10/2022,"1,707,761",0.69,"667,662",0.675,"63,200",0.68,"66,100",0.82,"13,935",0.748,"850,153",0.998
04/09/2022,"2,190,462",0.668,"868,945",0.62,"81,600",0.72,"86,600",0.9,"13,969",0.792,"897,690",0.947
04/08/2022,"3,354,096",0.586,"1,443,367",0.646,"160,900",0.54,"140,800",0.52,"24,488",0.842,"998,348",0.997
04/07/2022,"3,313,712",0.569,"1,379,678",0.589,"161,300",0.56,"140,200",0.54,"24,107",0.768,"901,454",0.927
04/06/2022,"3,318,116",0.566,"1,403,198",0.598,"163,800",0.57,"142,800",0.55,"25,103",0.785,"890,470",0.937
04/05/2022,"3,363,543",0.583,"1,484,961",0.642,"170,100",0.59,"150,700",0.58,"24,873",0.822,"904,813",0.99
04/04/2022,"3,134,343",0.564,"1,447,820",0.633,"159,500",0.55,"135,900",0.51,"23,746",0.838,"899,510",0.988
04/03/2022,"1,465,351",0.584,"607,152",0.612,"58,800",0.63,"53,800",0.67,"12,947",0.675,"790,600",0.885
04/02/2022,"2,130,919",0.645,"879,513",0.626,"77,200",0.68,"80,500",0.83,"14,382",0.804,"893,814",0.953
04/01/2022,"3,243,079",0.569,"1,411,421",0.65,"145,300",0.49,"120,600",0.45,"24,017",0.84,"972,802",0.999
03/31/2022,"3,330,025",0.563,"1,450,363",0.614,"164,100",0.57,"139,600",0.54,"24,308",0.773,"941,530",0.965
03/30/2022,"3,342,993",0.568,"1,465,351",0.616,"164,900",0.58,"143,200",0.55,"24,620",0.762,"913,063",0.978
03/29/2022,"3,298,783",0.572,"1,430,099",0.61,"163,200",0.57,"143,900",0.55,"23,981",0.802,"886,086",0.978
03/28/2022,"2,995,970",0.538,"1,336,330",0.582,"153,200",0.53,"130,900",0.49,"22,114",0.775,"868,259",0.968
03/27/2022,"1,535,658",0.679,"628,313",0.635,"65,000",0.69,"58,000",0.72,"11,809",0.678,"830,360",1.017
