Borough,Station Name,Year,January,Feburary,March,April,May,June,July,August,September,October,November,December,Year Average
Brooklyn,Prospect Park West,2017,32093,36401,35274,63333,68600,83469,85577,81196,82334,77085,55552,39127,61670.08333
Brooklyn,Prospect Park West,2018,32867,36546,42945,58521,74620,83889,84129,77438,75368,71317,51444,43146,61019.16667
Brooklyn,Prospect Park West,2019,41943,38658,50675,67088,77548,91088,83488,84851,88969,72349,58116,41063,66319.66667
Brooklyn,Prospect Park West,2020,51137,46062,56367,48057,93759,111295,104461,114291,121081,110430,88670,56830,83536.66667
Brooklyn,Prospect Park West,2021,61076,37846,75682,90238,108243,112177,104401,103401,111360,110218,85021,73903,89463.83333
Manhattan,Manhattan Bridge Ped Path,2017,2647,3150,2736,5385,6060,6716,7474,7990,7430,7517,4432,2904,5370.083333
Manhattan,Manhattan Bridge Ped Path,2018,2469,3145,3466,4640,6673,7920,7015,6397,6007,5496,3624,2994,4987.166667
Manhattan,Manhattan Bridge Ped Path,2019,2404,2561,3539,5190,5909,6485,6959,7050,6911,5164,3380,2386,4828.166667
Manhattan,Manhattan Bridge Ped Path,2020,2895,2635,3793,3801,7886,10499,9463,9628,9380,7669,5658,3516,6401.916667
Manhattan,Manhattan Bridge Ped Path,2021,3414,2111,4767,5395,6279,7098,7189,7185,7504,6264,4407,3563,5431.333333
Brooklyn,Williamsburg Bridge Bike Path,2017,69335,83665,73646,148268,177015,198600,188284,198611,198430,185847,121990,73651,143111.8333
Brooklyn,Williamsburg Bridge Bike Path,2018,56569,72032,80252,117531,179961,192233,180972,183326,161971,170622,99749,73777,130749.5833
Brooklyn,Williamsburg Bridge Bike Path,2019,68086,71376,99832,146680,170982,185982,184592,198908,207942,163784,113867,66799,139902.5
Brooklyn,Williamsburg Bridge Bike Path,2020,93714,84602,115964,92363,186791,244351,246919,257649,266846,229507,174424,100894,174502
Brooklyn,Williamsburg Bridge Bike Path,2021,100095,53997,136095,170995,216487,236773,218990,219429,232421,205421,147759,116349,171234.25
Queens,Ed Koch Queensboro Bridge Shared Path,2017,55677,61399,53999,104484,126320,142096,141068,160251,151615,147971,100311,71776,109747.25
Queens,Ed Koch Queensboro Bridge Shared Path,2018,49462,58290,64347,89962,134999,144022,140051,140280,120718,122110,76154,62153,100212.3333
Queens,Ed Koch Queensboro Bridge Shared Path,2019,55890,54736,73846,103843,119091,125659,135950,143951,141162,116190,84128,57945,101032.5833
Queens,Ed Koch Queensboro Bridge Shared Path,2020,74596,68286,87870,72935,150359,193944,198812,201749,208093,180902,144607,96730,139906.9167
Queens,Ed Koch Queensboro Bridge Shared Path,2021,98343,59222,123058,145515,169782,180879,168593,174815,183860,175744,135638,114445,144157.8333
Staten Island,Staten Island Ferry,2017,7818,8255,7596,12814,14762,16029,17021,17973,15393,13412,9798,7409,12356.66667
Staten Island,Staten Island Ferry,2018,6196,6637,6997,9708,12750,13576,14355,13896,12902,12501,8696,7641,10487.91667
Staten Island,Staten Island Ferry,2019,7148,6726,8148,10882,12750,13154,13807,14857,13956,11685,9581,7101,10816.25
Staten Island,Staten Island Ferry,2020,8701,7664,7598,4861,9015,13006,14328,15103,16503,14562,11638,8700,10973.25
Staten Island,Staten Island Ferry,2021,8636,5283,10269,11693,14055,14349,14056,14748,15457,15263,12446,11014,12272.41667
Queens,Pulaski Bridge,2017,,,,,,17124,68187,70286,72351,63011,40741,26937,51233.85714
Queens,Pulaski Bridge,2018,21237,26789,30513,43068,61426,67283,67842,65684,62643,57293,34970,28538,47273.83333
Queens,Pulaski Bridge,2019,26474,26291,36458,52380,59340,65793,64222,68231,72428,55053,37151,22713,48877.83333
Queens,Pulaski Bridge,2020,32521,29124,40122,40054,83940,96895,93388,98325,97502,80812,64378,37257,66193.16667
Queens,Pulaski Bridge,2021,39584,20126,53228,65955,79738,83254,79927,80800,85899,80398,56945,46192,64337.16667
Brooklyn,Kent Ave btw North 8th St and North 9th St,2017,32071,40783,34996,80863,93524,112377,114918,112528,113109,96043,59345,37481,77336.5
Brooklyn,Kent Ave btw North 8th St and North 9th St,2018,29311,36361,40867,66385,98152,109245,107832,100400,93128,81605,47314,36052,70554.33333
Brooklyn,Kent Ave btw North 8th St and North 9th St,2019,32977,34510,49956,75999,92759,103355,99687,106660,105301,76963,51940,35136,72103.58333
Brooklyn,Kent Ave btw North 8th St and North 9th St,2020,43269,40338,57530,57440,121896,146296,141430,149943,142750,115529,88903,47759,96090.25
Brooklyn,Kent Ave btw North 8th St and North 9th St,2021,48987,32716,73053,90909,115413,122956,120066,118119,125473,110588,74645,59521,91037.16667
Manhattan,8th Ave at 50th St.,2017,0,0,0,0,0,0,0,0,0,0,0,0,0
Manhattan,8th Ave at 50th St.,2018,0,0,0,0,0,0,0,0,0,0,0,0,0
Manhattan,8th Ave at 50th St.,2019,0,0,0,0,0,0,0,0,0,0,0,67259,5604.916667
Manhattan,8th Ave at 50th St.,2020,84837,81214,76898,53997,91702,107448,104385,114128,120217,114182,97777,71522,93192.25
Manhattan,8th Ave at 50th St.,2021,81264,43502,82230,92934,99593,100863,99180,103506,110679,95068,0,1317,75844.66667
