Route,Notes,FIPS,2015,2016,2017,2018,2019,2020,2019-2020 Change,,2020 Rank
B1,,36047,"6,132,336","6,231,122","5,977,077","5,745,130",5960830,3331141,"-2,629,688",-44.10%,27
B2,,36047,"770,130","733,823","661,571","632,570",663188,305667,"-357,521",-53.90%,201
B3,,36047,"4,002,061","3,919,536","3,820,476","3,765,813",3882779,2392652,"-1,490,127",-38.40%,45
B4,,36047,"1,757,286","1,919,457","1,920,058","1,918,670",1881826,682262,"-1,199,564",-63.70%,163
B6,,36047,"13,226,183","13,151,722","12,685,880","11,407,268",10826224,6837429,"-3,988,795",-36.80%,4
B7,,36047,"1,763,346","1,812,623","1,728,692","1,509,218",1469708,947992,"-521,716",-35.50%,137
B8,,36047,"6,255,322","6,217,741","5,997,980","5,841,353",5723560,2179043,"-3,544,517",-61.90%,53
B9,,36047,"4,139,614","4,617,891","4,628,029","4,625,342",4455344,1588654,"-2,866,690",-64.30%,85
B11,,36047,"3,423,806","3,426,159","3,194,736","3,165,474",3186139,1273812,"-1,912,327",-60.00%,110
B12,,36047,"5,013,389","4,892,896","4,310,508","3,813,830",3610465,2554058,"-1,056,407",-29.30%,41
B13,,36047,"1,823,005","1,948,419","1,915,728","1,877,022",1919546,1350265,"-569,281",-29.70%,100
B14,,36047,"2,289,416","2,286,539","2,066,703","1,852,710",1717438,1161037,"-556,401",-32.40%,118
B15,,36047,"7,267,716","7,295,474","6,494,369","5,895,042",5428599,3835118,"-1,593,481",-29.40%,23
B16,,36047,"2,026,822","2,039,345","2,040,268","1,883,862",1881787,670961,"-1,210,827",-64.30%,167
B17,,36047,"3,629,451","3,482,998","3,183,167","2,894,461",3000186,1995109,"-1,005,077",-33.50%,61
B20,,36047,"2,313,572","2,184,077","2,072,869","1,930,616",1845773,1246682,"-599,091",-32.50%,112
B24,,36047,"746,676","753,841","729,957","780,514",815377,549886,"-265,491",-32.60%,186
B25,,36047,"3,205,785","3,201,520","2,850,871","2,536,122",2462286,1713330,"-748,956",-30.40%,74
B26,,36047,"3,161,100","3,138,875","2,920,409","2,683,430",2639105,1713858,"-925,247",-35.10%,73
B31,,36047,"778,254","800,063","792,743","763,023",778809,379803,"-399,006",-51.20%,198
B32,,36047,"221,464","249,020","264,834","263,192",300503,151213,"-149,290",-49.70%,215
B35,,36047,"10,991,667","10,549,385","9,894,228","9,032,220",8159658,5965165,"-2,194,493",-26.90%,6
B36,,36047,"4,300,439","4,205,014","3,953,330","3,704,261",3562531,2329011,"-1,233,520",-34.60%,49
B37,,36047,"668,317","723,190","797,584","721,696",689457,269746,"-419,711",-60.90%,207
B38,,36047,"6,020,338","6,012,807","5,951,980","5,700,899",5275502,1905138,"-3,370,364",-63.90%,64
B39,,36047,"81,627","82,769","77,084","73,841",73803,103514,"29,711",40.30%,221
B41,,36047,"9,389,497","8,873,704","8,113,663","7,509,840",7398023,5321959,"-2,076,064",-28.10%,10
B42,,36047,"1,323,272","1,276,193","1,183,572","1,076,953",905968,571098,"-334,871",-37.00%,185
B43,,36047,"3,339,920","3,322,487","3,099,517","2,952,509",2910220,1043604,"-1,866,616",-64.10%,129
B44Lcl/SBS,,36047,"11,869,056","11,955,645","11,137,237","10,359,872",10079995,6689127,"-3,390,869",-33.60%,5
B45,,36047,"1,967,141","1,911,481","1,739,625","1,562,808",1515750,1062897,"-452,853",-29.90%,125
B46Lcl/SBS,1,36047,"14,471,998","14,076,206","13,483,536","12,438,729",11916793,7539419,"-4,377,374",-36.70%,3
B47,,36047,"3,422,406","3,355,809","3,038,000","2,941,136",2867332,1890678,"-976,654",-34.10%,65
B48,,36047,"1,188,482","1,218,214","1,177,264","1,121,161",1084811,670486,"-414,325",-38.20%,168
B49,,36047,"3,914,673","3,820,896","3,573,281","3,326,248",3280412,2357874,"-922,539",-28.10%,47
B52,,36047,"3,931,492","3,922,470","3,579,984","3,179,719",2987639,1923713,"-1,063,925",-35.60%,63
B54,,36047,"3,392,392","3,238,517","2,968,079","2,830,465",2658271,1697895,"-960,376",-36.10%,75
B57,,36047,"2,215,467","2,293,279","2,232,469","2,170,438",2181338,1442379,"-738,959",-33.90%,93
B60,,36047,"3,107,982","3,125,722","2,953,622","2,628,625",2572393,1727347,"-845,046",-32.90%,72
B61,,36047,"3,255,904","3,166,260","2,968,941","2,821,677",2691498,992073,"-1,699,424",-63.10%,134
B62,,36047,"2,757,493","2,544,178","2,381,003","2,236,742",2206549,1328266,"-878,282",-39.80%,102
B63,,36047,"4,027,434","3,958,153","4,132,750","3,848,405",3807497,1401833,"-2,405,664",-63.20%,96
B64,,36047,"1,821,555","1,867,052","1,728,174","1,786,555",1781319,1120720,"-660,600",-37.10%,122
B65,,36047,"1,069,680","1,067,798","995,554","897,457",1056493,698957,"-357,536",-33.80%,160
B67,,36047,"1,315,946","1,310,768","1,310,269","1,286,879",1332464,442773,"-889,692",-66.80%,194
B68,,36047,"4,690,774","4,674,233","4,455,505","4,153,203",4030559,1578702,"-2,451,858",-60.80%,86
B69,,36047,"1,171,237","1,236,017","1,258,471","1,211,411",1267966,411416,"-856,549",-67.60%,196
B70,,36047,"1,738,072","1,903,421","2,015,298","2,121,010",2262913,716967,"-1,545,946",-68.30%,159
