Average Weekday Bus Ridership,,,,,,,,,,,,
Route,Notes,,2015,2016,2017,2018,2019,2020,,2019-2020 Change,,2020 Rank
,,,,,,,,,,,,
B1,,,"19,409","19,828","18,987","18,180","18,838","9,918",,"-8,920",-47.4%,28
B2,,,"2,579","2,464","2,216","2,088","2,174",969,,"-1,205",-55.4%,203
B3,,,"11,914","11,803","11,544","11,309","11,554","7,062",,"-4,492",-38.9%,52
B4,,,"5,653","6,195","6,207","6,192","6,069","2,159",,"-3,910",-64.4%,163
B6,,,"41,175","41,320","40,135","35,963","34,062","20,631",,"-13,431",-39.4%,4
B7,,,"5,870","6,066","5,814","5,091","4,920","3,030",,"-1,890",-38.4%,141
B8,,,"19,541","19,616","18,981","18,388","18,036","6,767",,"-11,269",-62.5%,54
B9,,,"12,785","14,404","14,495","14,416","13,857","4,928",,"-8,929",-64.4%,88
B11,,,"11,283","11,273","10,471","10,377","10,488","4,146",,"-6,342",-60.5%,103
B12,,,"15,766","15,380","13,604","12,124","11,542","7,956",,"-3,586",-31.1%,38
B13,,,"5,844","6,290","6,193","6,084","6,259","4,220",,"-2,039",-32.6%,100
B14,,,"7,214","7,243","6,577","5,900","5,442","3,601",,"-1,841",-33.8%,119
B15,,,"22,153","22,282","19,827","17,977","16,510","11,388",,"-5,122",-31.0%,24
B16,,,"6,686","6,739","6,760","6,184","6,150","2,154",,"-3,996",-65.0%,164
B17,,,"11,605","11,279","10,403","9,382","9,527","6,154",,"-3,373",-35.4%,60
B20,,,"7,433","7,042","6,765","6,315","6,008","3,917",,"-2,091",-34.8%,113
B24,,,"2,379","2,390","2,293","2,449","2,563","1,709",,-854,-33.3%,188
B25,,,"10,041","10,048","8,880","7,874","7,631","5,256",,"-2,375",-31.1%,74
B26,,,"9,757","9,723","9,011","8,234","8,038","5,081",,"-2,957",-36.8%,79
B31,,,"2,664","2,753","2,721","2,619","2,671","1,260",,"-1,411",-52.8%,198
B32,,,725,819,849,820,904,470,,-434,-48.0%,219
B35,,,"33,016","31,886","29,899","27,273","24,887","17,811",,"-7,076",-28.4%,6
B36,,,"14,320","14,026","13,108","12,305","11,795","7,401",,"-4,394",-37.3%,46
B37,,,"2,208","2,380","2,558","2,300","2,196",835,,"-1,361",-62.0%,207
B38,,,"19,241","19,099","18,828","18,011","16,660","6,054",,"-10,606",-63.7%,62
B39,,,258,260,239,220,218,287,,+69,+31.6%,223
B41,,,"28,690","27,082","24,970","22,967","22,553","15,934",,"-6,619",-29.3%,11
B42,,,"4,310","4,186","3,885","3,546","3,010","1,839",,"-1,171",-38.9%,184
B43,,,"10,530","10,540","9,832","9,346","9,196","3,292",,"-5,904",-64.2%,131
B44Lcl/SBS,,,"37,021","37,418","34,877","32,334","31,375","20,445",,"-10,930",-34.8%,5
B45,,,"6,217","6,019","5,510","4,973","4,846","3,315",,"-1,531",-31.6%,128
B46Lcl/SBS,1,,"44,431","43,463","41,786","38,120","36,375","22,696",,"-13,679",-37.6%,3
B47,,,"10,611","10,436","9,495","9,252","9,017","5,821",,"-3,196",-35.4%,65
B48,,,"3,759","3,851","3,683","3,534","3,406","2,100",,"-1,306",-38.3%,167
B49,,,"12,755","12,452","11,674","10,886","10,653","7,427",,"-3,226",-30.3%,44
B52,,,"12,451","12,435","11,326","9,940","9,317","5,854",,"-3,463",-37.2%,64
B54,,,"10,946","10,466","9,640","9,197","8,590","5,308",,"-3,282",-38.2%,71
B57,,,"7,072","7,244","7,064","6,851","6,837","4,487",,"-2,350",-34.4%,94
B60,,,"9,753","9,906","9,443","8,364","8,166","5,283",,"-2,883",-35.3%,73
B61,,,"10,233","9,945","9,377","8,876","8,438","3,088",,"-5,350",-63.4%,136
B62,,,"8,652","7,882","7,292","6,841","6,762","4,007",,"-2,755",-40.7%,111
B63,,,"11,778","11,607","12,008","11,148","11,085","4,079",,"-7,006",-63.2%,106
B64,,,"5,579","5,732","5,273","5,442","5,472","3,299",,"-2,173",-39.7%,130
B65,,,"3,437","3,398","3,151","2,795","3,176","2,057",,"-1,119",-35.2%,173
B67,,,"4,521","4,504","4,511","4,441","4,618","1,527",,"-3,091",-66.9%,191
B68,,,"14,182","14,159","13,586","12,660","12,180","4,726",,"-7,454",-61.2%,90
B69,,,"3,989","4,225","4,308","4,134","4,323","1,398",,"-2,925",-67.7%,195
