Average Weekend Bus Ridership,,,,,,,,,,,,
Route,Notes,,2015,2016,2017,2018,2019,2020,,2019-2020 Change,,2020 Rank
,,,,,,,,,,,,
B1,,,"22,009","21,601","21,218","20,490","21,392","14,541",,"-6,851",-32.0%,24
B2,,,"2,088","1,926","1,805","1,856","2,016","1,058",,-958,-47.5%,197
B3,,,"17,747","16,569","16,173","16,223","17,252","10,695",,"-6,557",-38.0%,39
B4,,,"5,865","6,235","6,308","6,292","6,177","2,369",,"-3,808",-61.6%,163
B6,,,"50,297","47,748","45,584","41,246","39,536","28,328",,"-11,208",-28.3%,4
B7,,,"4,911","4,874","4,611","3,906","3,956","3,138",,-818,-20.7%,140
B8,,,"23,494","22,245","21,529","21,247","20,767","8,151",,"-12,616",-60.8%,55
B9,,,"16,223","17,200","17,225","17,416","16,910","5,929",,"-10,981",-64.9%,81
B11,,,"10,041","10,001","9,636","9,442","9,294","3,779",,"-5,515",-59.3%,125
B12,,,"18,371","17,829","15,698","13,389","12,369","9,422",,"-2,947",-23.8%,47
B13,,,"6,167","6,342","6,311","6,054","6,033","4,959",,"-1,074",-17.8%,103
B14,,,"8,354","8,082","7,296","6,477","6,126","4,370",,"-1,756",-28.7%,114
B15,,,"29,725","29,405","26,557","24,106","22,386","16,745",,"-5,641",-25.2%,17
B16,,,"5,960","5,880","5,921","5,664","5,774","2,169",,"-3,605",-62.4%,171
B17,,,"12,452","11,188","9,974","9,346","10,597","7,671",,"-2,926",-27.6%,59
B20,,,"7,762","7,141","6,517","5,943","5,823","4,439",,"-1,384",-23.8%,112
B24,,,"2,606","2,651","2,725","2,910","3,003","2,061",,-942,-31.4%,179
B25,,,"11,983","11,806","11,013","9,846","9,656","6,734",,"-2,922",-30.3%,67
B26,,,"12,494","12,116","11,638","10,858","10,965","7,567",,"-3,398",-31.0%,60
B31,,,"1,841","1,808","1,873","1,768","1,817","1,048",,-769,-42.3%,198
B32,,,686,747,912,"1,016","1,308",567,,-741,-56.6%,207
B35,,,"47,613","44,345","42,231","38,486","33,627","25,704",,"-7,923",-23.6%,7
B36,,,"11,980","11,491","11,415","10,463","10,265","7,904",,"-2,361",-23.0%,57
B37,,,"1,977","2,158","2,749","2,520","2,425","1,044",,"-1,381",-56.9%,199
B38,,,"20,688","21,012","21,512","20,584","19,096","6,553",,"-12,543",-65.7%,71
B39,,,290,306,302,331,341,551,,+210,+61.7%,208
B41,,,"38,512","36,216","32,701","30,797","30,697","22,790",,"-7,907",-25.8%,8
B42,,,"4,123","3,801","3,600","3,192","2,576","1,842",,-734,-28.5%,185
B43,,,"12,161","11,716","11,113","10,601","10,518","3,685",,"-6,833",-65.0%,130
B44Lcl/SBS,,,"44,980","44,282","41,823","39,175","38,484","26,509",,"-11,975",-31.1%,5
B45,,,"7,120","6,965","6,310","5,509","5,243","3,920",,"-1,323",-25.2%,121
B46Lcl/SBS,1,,"58,186","54,891","52,719","50,493","48,997","31,678",,"-17,319",-35.3%,2
B47,,,"13,259","12,742","11,522","10,807","10,530","7,335",,"-3,195",-30.3%,61
B48,,,"4,287","4,378","4,469","4,089","4,030","2,423",,"-1,607",-39.9%,159
B49,,,"12,333","11,928","11,213","10,245","10,498","8,370",,"-2,128",-20.3%,52
B52,,,"14,017","13,820","12,952","11,966","11,370","7,788",,"-3,582",-31.5%,58
B54,,,"11,129","10,427","9,544","9,000","8,650","6,173",,"-2,477",-28.6%,76
B57,,,"7,623","8,189","8,034","7,864","8,109","5,357",,"-2,752",-33.9%,93
B60,,,"11,517","11,059","10,219","9,206","9,091","6,835",,"-2,256",-24.8%,65
B61,,,"11,973","11,594","10,808","10,357","10,013","3,715",,"-6,298",-62.9%,128
B62,,,"10,231","9,814","9,732","9,153","8,950","5,528",,"-3,422",-38.2%,88
B63,,,"19,054","18,371","19,978","18,640","18,232","6,603",,"-11,629",-63.8%,70
B64,,,"7,396","7,424","7,123","7,353","7,145","5,050",,"-2,095",-29.3%,100
B65,,,"3,605","3,725","3,609","3,451","4,578","3,153",,"-1,425",-31.1%,139
B67,,,"3,070","3,029","3,070","2,910","2,928",972,,"-1,956",-66.8%,201
B68,,,"19,757","19,356","18,288","16,990","16,990","6,733",,"-10,257",-60.4%,68
B69,,,"2,898","2,963","3,075","2,967","3,124",998,,"-2,126",-68.1%,200
B70,,,"6,794","7,113","7,938","8,475","8,523","2,671",,"-5,852",-68.7%,153
B74,,,"4,280","4,060","3,915","3,662","3,444","2,355",,"-1,089",-31.6%,164
B82Lcl/SBS,2,,"29,733","28,801","27,908","26,542","27,865","20,932",,"-6,933",-24.9%,11
B83,,,"10,422","9,713","9,178","8,372","7,801","5,649",,"-2,152",-27.6%,87
B84,,,365,359,323,291,270,191,,-79,-29.2%,216
B100,,#,"2,451","2,431","2,544","2,400","2,484","1,345",,"-1,139",-45.9%,191
B103,,#,"15,012","15,021","14,667","14,069","14,036","9,815",,"-4,221",-30.1%,42
B OTHER,,,485,403,429,876,"3,257","1,206",,,,
Brooklyn Local,,,"740,398","717,297","687,537","647,331","637,346","399,117",,"-238,229",-37.4%,
,,,,,,,,,,,,
Bx1/2,,,"37,594","35,237","34,682","33,257","30,588","17,459",,"-13,129",-42.9%,16
Bx3,,,"19,055","18,737","18,119","16,819","15,594","11,959",,"-3,635",-23.3%,34
Bx4,,,"14,235","12,866","11,881","11,468","10,911","13,428",,"+2,517",+23.1%,30
Bx5,,,"11,931","11,444","11,453","10,546","10,324","6,311",,"-4,013",-38.9%,74
Bx6Lcl/SBS,3,,"23,958","22,699","21,844","22,595","21,842","15,917",,"-5,925",-27.1%,19
Bx7,,,"17,307","16,467","16,727","16,263","16,637","12,258",,"-4,379",-26.3%,33
Bx8,,,"3,558","3,472","3,458","3,374","3,324","1,610",,"-1,714",-51.6%,189
Bx9,,,"32,359","31,882","30,112","28,220","26,811","16,708",,"-10,103",-37.7%,18
Bx10,,,"9,847","9,819","9,708","9,133","8,746","5,907",,"-2,839",-32.5%,83
Bx11,,,"15,994","15,216","14,068","12,765","12,020","9,280",,"-2,740",-22.8%,48
Bx12Lcl/SBS,,,"64,638","60,307","58,564","54,255","51,318","32,379",,"-18,939",-36.9%,1
Bx13,,,"14,991","14,844","14,175","12,987","12,355","8,928",,"-3,427",-27.7%,49
Bx15,,,"36,050","32,445","29,972","26,884","24,912","13,989",,"-10,923",-43.8%,25
Bx16,,,"6,734","6,503","6,119","5,548","5,470","3,762",,"-1,708",-31.2%,126
Bx17,,,"10,991","10,400","9,753","8,640","7,903","4,400",,"-3,503",-44.3%,113
Bx18,,,"1,303","1,419","1,310","1,164","1,116",845,,-271,-24.3%,203
Bx19,,,"39,758","36,862","33,735","30,307","27,719","22,652",,"-5,067",-18.3%,9
Bx20,,,,,,,,,,,,
