Test_Date,County_Code,Positive_Cases,Total_Tests
2020-03-03,36005,0,1
2020-03-03,36047,0,2
2020-03-03,36061,0,3
2020-03-03,36081,0,2
2020-03-04,36047,1,4
2020-03-04,36061,1,4
2020-03-05,36005,0,5
2020-03-05,36047,0,7
2020-03-05,36061,1,18
2020-03-05,36081,1,6
2020-03-06,36005,0,6
2020-03-06,36047,3,12
2020-03-06,36061,3,14
2020-03-06,36081,1,10
2020-03-06,36085,0,3
2020-03-07,36005,0,17
2020-03-07,36047,0,8
2020-03-07,36061,0,23
2020-03-07,36081,0,14
2020-03-07,36085,0,2
2020-03-08,36005,1,16
2020-03-08,36047,2,10
2020-03-08,36061,0,24
2020-03-08,36081,1,13
2020-03-09,36005,4,31
2020-03-09,36047,1,31
2020-03-09,36061,7,47
2020-03-09,36081,0,15
2020-03-09,36085,0,6
2020-03-10,36005,0,47
2020-03-10,36047,7,29
2020-03-10,36061,12,78
2020-03-10,36081,4,18
2020-03-10,36085,1,5
2020-03-11,36005,2,31
2020-03-11,36047,2,24
2020-03-11,36061,3,70
2020-03-11,36081,5,44
2020-03-11,36085,1,5
2020-03-12,36005,3,36
2020-03-12,36047,8,58
2020-03-12,36061,18,187
2020-03-12,36081,15,74
2020-03-12,36085,4,16
2020-03-13,36005,10,99
2020-03-13,36047,17,136
2020-03-13,36061,39,268
2020-03-13,36081,30,154
2020-03-13,36085,5,34
2020-03-14,36005,8,81
2020-03-14,36047,17,99
2020-03-14,36061,28,191
2020-03-14,36081,18,110
2020-03-14,36085,3,29
2020-03-15,36005,29,117
2020-03-15,36047,26,166
2020-03-15,36061,60,316
2020-03-15,36081,49,199
2020-03-15,36085,6,27
2020-03-16,36005,28,150
2020-03-16,36047,39,170
2020-03-16,36061,69,395
2020-03-16,36081,39,138
2020-03-16,36085,11,35
2020-03-17,36005,123,433
2020-03-17,36047,271,753
2020-03-17,36061,152,584
2020-03-17,36081,123,371
2020-03-17,36085,27,62
2020-03-18,36005,154,597
2020-03-18,36047,273,795
2020-03-18,36061,335,1073
2020-03-18,36081,336,768
2020-03-18,36085,33,110
2020-03-19,36005,191,609
2020-03-19,36047,674,1555
2020-03-19,36061,435,1230
2020-03-19,36081,522,1188
2020-03-19,36085,116,273
2020-03-20,36005,297,886
2020-03-20,36047,538,1379
2020-03-20,36061,370,1266
2020-03-20,36081,491,1216
2020-03-20,36085,109,334
2020-03-21,36005,373,1057
2020-03-21,36047,906,1984
2020-03-21,36061,512,1354
2020-03-21,36081,857,1960
2020-03-21,36085,227,715
2020-03-22,36005,649,1412
2020-03-22,36047,757,1679
2020-03-22,36061,573,1323
2020-03-22,36081,1223,2286
2020-03-22,36085,333,883
2020-03-23,36005,550,1205
2020-03-23,36047,728,1514
2020-03-23,36061,421,1028
2020-03-23,36081,851,1570
2020-03-23,36085,381,1027
2020-03-24,36005,684,1364
2020-03-24,36047,808,1523
2020-03-24,36061,424,1037
2020-03-24,36081,1031,1784
2020-03-24,36085,189,423
2020-03-25,36005,1003,2094
2020-03-25,36047,778,1631
2020-03-25,36061,530,1211
