Station (alphabetical by borough),FIPS,Boro,2015,2016,2017,2018,2019,2020,2019-2020 Change,,2020 Rank
"138 St-Grand Concourse (4,5)",36005,Bx,"1,056,380","1,070,024","1,036,746","944,598",1035878,371408,"-664,470",-64.10%,380
"149 St-Grand Concourse (2,4,5)",36005,Bx,"4,424,754","4,381,900","4,255,015","3,972,763",3931908,1815785,"-2,116,123",-53.80%,97
"161 St-Yankee Stadium (B,D,4)",36005,Bx,"8,922,188","8,784,407","8,596,506","8,392,290",8254928,3221651,"-5,033,277",-61.00%,37
167 St (4),36005,Bx,"3,180,274","3,179,087","2,954,228","2,933,140",2653237,1396287,"-1,256,950",-47.40%,140
"167 St (B,D)",36005,Bx,"3,295,032","3,365,748","3,293,451","2,022,919",2734530,1422149,"-1,312,381",-48.00%,138
170 St (4),36005,Bx,"3,045,205","3,038,777","2,785,331","2,562,443",2487611,1265950,"-1,221,661",-49.10%,162
"170 St (B,D)",36005,Bx,"2,286,670","2,317,558","2,270,027","2,454,974",2130461,1002095,"-1,128,366",-53.00%,205
"174 St (2,5)",36005,Bx,"2,313,651","2,411,413","2,334,317","2,056,692",2057118,953564,"-1,103,554",-53.60%,215
"174-175 Sts (B,D)",36005,Bx,"1,695,879","1,752,387","1,735,321","1,005,075",1518260,788121,"-730,139",-48.10%,258
176 St (4),36005,Bx,"1,969,221","2,036,529","1,943,854","1,803,691",1713696,876865,"-836,831",-48.80%,232
"182-183 Sts (B,D)",36005,Bx,"1,643,266","1,682,092","1,577,144","1,502,814",1513443,761613,"-751,830",-49.70%,264
183 St (4),36005,Bx,"2,057,944","2,071,316","2,001,410","1,831,457",1779224,951634,"-827,590",-46.50%,217
"219 St (2,5)",36005,Bx,"1,108,859","1,049,128","1,044,200","1,026,894",979390,457388,"-522,002",-53.30%,356
"225 St (2,5)",36005,Bx,"1,439,495","1,365,544","1,323,910","1,224,369",1187486,549296,"-638,190",-53.70%,325
231 St (1),36005,Bx,"2,966,015","3,013,521","3,013,031","3,133,231",2919305,1289691,"-1,629,614",-55.80%,158
"233 St (2,5)",36005,Bx,"1,762,923","1,688,487","1,565,455","1,496,673",1445532,721495,"-724,037",-50.10%,278
238 St (1),36005,Bx,"1,240,616","1,327,862","1,335,877","960,970",1204095,588199,"-615,896",-51.20%,317
3 Av-138 St (6),36005,Bx,"2,531,974","2,509,085","2,515,479","2,451,972",2503850,1271192,"-1,232,658",-49.20%,161
"3 Av-149 St (2,5)",36005,Bx,"7,363,663","7,609,968","7,458,222","6,784,053",6768255,3166766,"-3,601,489",-53.20%,39
"Allerton Av (2,5)",36005,Bx,"1,821,628","1,733,740","1,678,247","1,603,702",1614464,760068,"-854,396",-52.90%,265
Baychester Av (5),36005,Bx,"1,137,693","1,112,259","1,054,373","1,006,343",1094872,491293,"-603,579",-55.10%,340
"Bedford Park Blvd (B,D)",36005,Bx,"2,196,065","2,240,256","2,220,298","1,984,267",2143375,968590,"-1,174,785",-54.80%,211
Bedford Park Blvd-Lehman College (4),36005,Bx,"1,863,892","1,812,036","1,716,853","1,575,555",1538253,691845,"-846,408",-55.00%,289
"Bronx Park East (2,5)",36005,Bx,"877,311","841,547","799,927","752,916",769303,354016,"-415,287",-54.00%,386
Brook Av (6),36005,Bx,"1,981,721","1,964,831","1,938,814","1,895,570",1823468,949904,"-873,564",-47.90%,219
Buhre Av (6),36005,Bx,"661,527","1,048,776","1,094,122","1,110,307",1146032,519694,"-626,338",-54.70%,331
"Burke Av (2,5)",36005,Bx,"1,139,826","1,099,582","1,064,119","997,617",1000896,480152,"-520,744",-52.00%,344
Burnside Av (4),36005,Bx,"3,641,720","3,617,308","3,442,348","3,198,218",3113514,1473081,"-1,640,433",-52.70%,129
Castle Hill Av (6),36005,Bx,"2,174,412","2,100,194","2,071,819","2,000,084",1954511,947432,"-1,007,079",-51.50%,221
Cypress Av (6),36005,Bx,"1,228,311","1,265,930","1,230,910","1,113,667",1043922,507795,"-536,127",-51.40%,335
East 143 St-St Mary's St (6),36005,Bx,"298,462","313,386","285,667","301,240",313938,168285,"-145,653",-46.40%,415
East 149 St (6),36005,Bx,"1,479,241","1,518,946","1,531,045","1,508,022",1467410,788235,"-679,175",-46.30%,257
